Unnamed: 0,id,department,timecreated,rol,userid,fecha_convertida
121884,552,Departamento De Español y Literatura,1709549942,editingteacher,fa5d171c9280388b26a2569e9fccc7683ab3ec70b685b3f9cde7066eee987263,2024-03-04 10:59:02
121885,319,Departamento De Informática Educativa,1709551598,editingteacher,6620b5d17f18eed1eb4d2d1cf4d7fe20c1dc49f0d6605d8395354762dceda8f7,2024-03-04 11:26:38
121886,568,Departamento De Salud Pública,1709551692,editingteacher,eca7bf3a91ac9f5b18f1bc05d3c44326c4a70f9d746a1be09c49bb5fe6a7e8b7,2024-03-04 11:28:12
121887,29,NaN,1709555966,editingteacher,d6fccd5d02351b1c921506167eb6bd49e8203158ddd3426c0d86a95dfea89ff2,2024-03-04 12:39:26
121888,366,Departamento De Ingeniería De Sistemas Y Telecomunicaciones,1709556334,editingteacher,9a94168caabfa08ab2e00e84ccae436d30338af9eedc28d8973e8ee824d776b2,2024-03-04 12:45:34
121889,706,Departamento De Ciencias Jurídicas,1709557018,editingteacher,0ca8db7afaab56d714c075335a79f217e4d23522967ac1033d8a900a74a3cdc9,2024-03-04 12:56:58
121890,538,Departamento De Ingeniería Industrial,1709558633,editingteacher,1be5fd44da02273da77f74611f2f53322de20bf71d68af93bb9b33f63510cd68,2024-03-04 13:23:53
121891,446,Departamento De Ciencias Jurídicas,1709558821,editingteacher,9a901cbfc73368cfea858bd228e310fd982f08f7a6d798e15614622777a9d20c,2024-03-04 13:27:01
121893,340,Departamento De Ingeniería De Sistemas Y Telecomunicaciones,1709559537,editingteacher,2bffc2cc3e17ffe99cac814afe0a42778676fc737d6dffa2ddf72421bf5994de,2024-03-04 13:38:57
121894,428,Departamento De Enfermería,1709560090,editingteacher,e897f214172c5bd6aac1bde7f560e56be51a3082e1ea2ec671fe7e6b152ff636,2024-03-04 13:48:10
121896,534,Departamento De Ingeniería Industrial,1709562323,editingteacher,c1254cbc65b02c137ef8d1618d8e12d3d222fcb16ebf7cec1656c91ceeaf8938,2024-03-04 14:25:23
121897,241,Departamento De Ciencias Administrativas,1709562862,editingteacher,be8d65bdbc9ce092ca698aab0ca00ea0594e198075e86fc372f01e1c973bb187,2024-03-04 14:34:22
121898,627,Departamento De Enfermería,1709563361,editingteacher,0cba5642182f80167a7e124edbbc348e5930ad7408e761e4f75baa8010b8bd9a,2024-03-04 14:42:41
121899,767,Departamento De Ciencias Administrativas,1709565560,editingteacher,0922a16422bbfba84f31e668b74aaa0ce4cab1895fe5f666463258df1b460d9d,2024-03-04 15:19:20
121900,314,Departamento De Idiomas Extranjeros,1709565843,editingteacher,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969,2024-03-04 15:24:03
121901,339,Departamento De Informática Educativa,1709569229,editingteacher,9f0abdf148b0358a801ac740c52870e98bbe0a1aaea0849f3419cec7d4e36a9f,2024-03-04 16:20:29
121902,84,Departamento De Enfermería,1709570166,editingteacher,7f96ab9d6522a742f68c85d7d71f584f611c98d6268766e26100b6e3bc655d6e,2024-03-04 16:36:06
121903,108,Departamento De Enfermería,1709572231,editingteacher,b0a6c22cc314a0e2e4e2862890bccd8588b8ad92e1e4745e01f038af541fa945,2024-03-04 17:10:31
121904,92,Departamento De Enfermería,1709572446,editingteacher,ac7948d4c5bfcd8394738fe3998779e4aadf987dd4201923620aa92b4aab9694,2024-03-04 17:14:06
121905,446,Departamento De Ciencias Jurídicas,1709574794,editingteacher,9a901cbfc73368cfea858bd228e310fd982f08f7a6d798e15614622777a9d20c,2024-03-04 17:53:14
121906,524,Departamento De Ingeniería Industrial,1709576010,editingteacher,7fe75fe840096ce15573b25c6ead0a0ac6b6ffef205452aad36eefb1bb9a93c8,2024-03-04 18:13:30
121907,579,Departamento De Matemáticas Y Estadística,1709579077,editingteacher,c5022ac110d1b1975d05a8fd67fe5845de962e70c95af79af10ee076e19cec1a,2024-03-04 19:04:37
121908,648,Departamento De Regencía Y Farmacia,1709579679,editingteacher,1b3875696cd8c9316ae95e0703f5807013647a166500226299a21bc97ef54ab7,2024-03-04 19:14:39
121909,423,Departamento De Enfermería,1709580827,editingteacher,97e06a08a949a1d7d0c14ddfa3dcf409f4f6a8250466606dcb2b9de612e29199,2024-03-04 19:33:47
